identificador	opening_date	opening_date_new	imagenPositivaNegativaMacri	imagenPositivaNegativaVidal	imagenPositivaNegativaCristina	latLong	latitude	longitude
88	1974	440	2	2	2	-34.542361,-58.5927108	-34.542361	-58.5927108
89	1974	445	1	1	2	-34.5490817,-58.5526817	-34.5490817	-58.5526817
90	1974	450	1		2	62.5360412597656,-96.3883514404297	62.53604126	-96.38835144
91	1974	455	1	1	2	-34.50901,-58.49405	-34.50901	-58.49405
92	1974	460		1	2	-34.5423733,-58.5046302	-34.5423733	-58.5046302
93	1974	465	2	2	1	-34.6046891,-58.7317423	-34.6046891	-58.7317423
94	1974	470	2	2	2	-34.5287,-58.57234	-34.5287	-58.57234
95	1974	475	2		2	-34.595894,-58.7414597	-34.595894	-58.7414597
96	1975	480	2		1	-34.5158581,-58.7641911	-34.5158581	-58.7641911
97	1975	485	2	2		-34.532798,-58.4861039	-34.532798	-58.4861039
98	1975	490	2	2	1	-34.53604,-58.53037	-34.53604	-58.53037
99	1975	495		1	2	-34.4827652,-58.4987986	-34.4827652	-58.4987986
102	1975	510	2	2	2	-34.4785065,-58.5560011	-34.4785065	-58.5560011
103	1975	515		1	2	-34.4771058,-58.4892011	-34.4771058	-58.4892011
104	1975	520	2	2	1	-34.5999717712402,-58.7489395141602	-34.59997177	-58.74893951
106	1975	530	1	1	2	9.76622009277344,8.84539985656738	9.766220093	8.845399857
107	1975	535	1	1	2	-34.51235,-58.52743	-34.51235	-58.52743
108	1975	540	2			-34.52505,-58.55587	-34.52505	-58.55587
109	1975	545	2	2	1	-34.5063236,-58.8115093	-34.5063236	-58.8115093
110	1975	550	2	2	1	-34.738002,-58.2471106	-34.738002	-58.2471106
111	1975	555	2	2	1	-34.548641204834,-58.5516815185547	-34.5486412	-58.55168152
113	1975	565	2	2	1	-34.5248333,-58.5477815	-34.5248333	-58.5477815
114	1975	570	2		1	-36.09381,-57.80687	-36.09381	-57.80687
116	1976	580	2	2	1	-37.9706409,-57.6107697	-37.9706409	-57.6107697
117	1976	585	2	2	1	-34.4539063,-58.5974054	-34.4539063	-58.5974054
118	1976	590	2		2	-34.5030125,-58.5144937	-34.5030125	-58.5144937
119	1976	595	2	2	1	-34.4567378,-58.6443695	-34.4567378	-58.6443695
120	1976	600	2	2	1	-34.3568265,-58.7913321	-34.3568265	-58.7913321
122	1976	610	1	1	2	-34.5351395,-58.4966082	-34.5351395	-58.4966082
124	1976	620	2	2	1	7.15698480606079,-66.2232437133789	7.156984806	-66.22324371
126	1976	630	2	2		-34.5016791,-58.6240963	-34.5016791	-58.6240963
127	1976	635	1	1	2	-34.386473,-58.7367258	-34.386473	-58.7367258
129	1976	645	2	2	1	-34.52196,-58.50191	-34.52196	-58.50191
131	1976	655	1	1	2	-34.52041,-58.48211	-34.52041	-58.48211
132	1976	660	1	1	2	-34.478093,-58.5257562	-34.478093	-58.5257562
133	1976	665	1	1	2	-34.4562648,-58.6058597	-34.4562648	-58.6058597
134	1976	670		2	1	-34.4917094,-58.504697	-34.4917094	-58.504697
135	1976	675	2	2	1	-34.5758008,-58.5806551	-34.5758008	-58.5806551
136	1976	680	2	2	2	-34.5063226,-58.5461375	-34.5063226	-58.5461375
137	1976	685	1	1	2	-34.5467491149902,-58.5014991760254	-34.54674911	-58.50149918
138	1976	690	2			-34.53969,-58.49376	-34.53969	-58.49376
139	1976	695	1	1	2	-34.51421,-58.50229	-34.51421	-58.50229
140	1976	700	2	2		9.76622009277344,8.84539985656738	9.766220093	8.845399857
142	1977	710	2	2	1	-34.6556364,-58.759043	-34.6556364	-58.759043
143	1977	715	1	1	2	-34.4673917,-58.5126838	-34.4673917	-58.5126838
144	1977	720	1	1	2	-34.590984,-58.5217253	-34.590984	-58.5217253
145	1977	725	1	1	1	-34.5901755,-58.741049	-34.5901755	-58.741049
146	1977	730			2	-34.4978564,-58.4968461	-34.4978564	-58.4968461
147	1977	735		1	2	-34.4553382,-58.5308502	-34.4553382	-58.5308502
148	1977	740	2	2	1	-34.5138389,-58.5336443	-34.5138389	-58.5336443
149	1977	745	1	1	2	9.76622009277344,8.84539985656738	9.766220093	8.845399857
150	1977	750	2		2	-34.4183704,-58.7527752	-34.4183704	-58.7527752
151	1977	755	2		1	-34.5305393,-58.4803294	-34.5305393	-58.4803294
152	1977	760	2	2	2	-34.5089661,-58.4843703	-34.5089661	-58.4843703
153	1977	765		1	2	-37.66572,-59.40523	-37.66572	-59.40523
154	1977	770	1	1	2	-34.5292816162109,-58.5362586975098	-34.52928162	-58.5362587
156	1977	780	1	1	2	-34.4550094604492,-58.6359901428223	-34.45500946	-58.63599014
157	1977	785	2	2	1	-34.5295235,-58.4703142	-34.5295235	-58.4703142
158	1977	790	2	2	2	-34.4937052,-58.6334294	-34.4937052	-58.6334294
159	1977	795	2	2	1	-34.33439,-58.85462	-34.33439	-58.85462
160	1977	800	2	2	2	-34.4742964,-58.5196554	-34.4742964	-58.5196554
161	1977	805	2	2	1	-34.5096412,-58.741185	-34.5096412	-58.741185
162	1977	810	2	2	2	-34.528106,-58.7546523	-34.528106	-58.7546523
163	1977	815	2	2	1	-34.3575072,-58.7803784	-34.3575072	-58.7803784
164	1977	820		2	2	-34.6042905,-58.7547727	-34.6042905	-58.7547727
165	1977	825	1	1	2	-34.4903046,-58.5160558	-34.4903046	-58.5160558
166	1977	830	2		2	-34.5345809,-58.4889606	-34.5345809	-58.4889606
167	1977	835	2		2	-34.6295433,-58.8303292	-34.6295433	-58.8303292
168	1977	840	2			-34.5274233,-58.5706312	-34.5274233	-58.5706312
169	1977	845	2	2	1	-34.6653792,-58.7965374	-34.6653792	-58.7965374
170	1977	850	2	2	1	11.2265596389771,-74.1987380981445	11.22655964	-74.1987381
171	1977	855	1	1	2	-34.6582489013672,-58.7634506225586	-34.6582489	-58.76345062
172	1977	860	2	2	1	43.5290298461914,12.1621837615967	43.52902985	12.16218376
173	1977	865	2	2	1	-34.4628841,-58.6837858	-34.4628841	-58.6837858
174	1977	870	1	1	2	-34.62752,-58.88438	-34.62752	-58.88438
175	1977	875	2	2	1	-34.4152343,-58.7670222	-34.4152343	-58.7670222
177	1977	885	2	2	1	-34.6326904296875,-58.8554191589355	-34.63269043	-58.85541916
178	1977	890			2	-34.4786720275879,-58.528938293457	-34.47867203	-58.52893829
179	1977	895	2	2	1	-34.6582489013672,-58.7634506225586	-34.6582489	-58.76345062
180	1977	900		2	2	-34.55241,-58.54539	-34.55241	-58.54539
181	1978	905	1	1	2	-34.5246189,-58.5430506	-34.5246189	-58.5430506
183	1978	915	2	2	1	-34.6482683,-58.8182302	-34.6482683	-58.8182302
184	1978	920		2	2	36.4212188720703,-6.14468002319336	36.42121887	-6.144680023
185	1978	925	2	2	2	-34.507568359375,-58.5661888122559	-34.50756836	-58.56618881
186	1978	930	2	2	1	-34.5471576,-58.5550628	-34.5471576	-58.5550628
187	1978	935	1	1	2	-34.4578155,-58.6322263	-34.4578155	-58.6322263
188	1978	940	1	1	2	-32.2585353,-61.9003101	-32.2585353	-61.9003101
189	1978	945	1	1	2	-34.4838527,-58.488934	-34.4838527	-58.488934
190	1978	950	2		1	-34.39632,-58.65099	-34.39632	-58.65099
192	1978	960	2	2	1	9.76622009277344,8.84539985656738	9.766220093	8.845399857
193	1978	965	1	1	2	-34.59047,-58.52581	-34.59047	-58.52581
195	1978	975	2	2		-34.6486877,-58.7871732	-34.6486877	-58.7871732
196	1978	980	2		1	-34.3827611,-58.7333984	-34.3827611	-58.7333984
198	1978	990	1	1	2	-34.6326904296875,-58.8554191589355	-34.63269043	-58.85541916
199	1978	995	2	1		-34.6046761,-58.7524728	-34.6046761	-58.7524728
200	1978	1000	1	1	2	-34.6350387,-58.7589758	-34.6350387	-58.7589758
201	1978	1005		1	2	-34.6355493,-58.8572045	-34.6355493	-58.8572045
202	1978	1010		2		-34.52321,-58.50167	-34.52321	-58.50167
203	1978	1015	2	1	2	-34.6456715,-58.7712514	-34.6456715	-58.7712514
204	1978	1020	1	1	2	-34.4251964,-58.5867814	-34.4251964	-58.5867814
205	1978	1025	2		2	-34.5306893,-58.5370367	-34.5306893	-58.5370367
206	1978	1030	1	1	2	-34.4972534,-58.5568752	-34.4972534	-58.5568752
207	1978	1035	2	2	1	-34.50499,-58.48064	-34.50499	-58.48064
208	1978	1040	1	1	1	-34.3058544,-58.7705851	-34.3058544	-58.7705851
209	1978	1045	2			-34.3952496,-58.7385309	-34.3952496	-58.7385309
210	1978	1050	1	1	2	-34.4631158,-58.5105968	-34.4631158	-58.5105968
212	1978	1060	2	2	1	-34.54154,-58.59641	-34.54154	-58.59641
213	1978	1065	1	1	2	-34.5444944,-58.5565923	-34.5444944	-58.5565923
214	1978	1070	2	2	2	-34.5404439,-58.5597913	-34.5404439	-58.5597913
215	1979	1075	1	1	2	-35.0800928,-57.5121095	-35.0800928	-57.5121095
217	1979	1085	1	1	2	-34.6668593,-58.8110074	-34.6668593	-58.8110074
218	1979	1090		1	2	-34.4788703918457,-58.5042304992676	-34.47887039	-58.5042305
219	1979	1095	2	2	1	-34.4768301,-58.6174185	-34.4768301	-58.6174185
220	1979	1100	2	2	2	-34.60655,-58.73471	-34.60655	-58.73471
221	1979	1105	2		2	19.4319400787354,-99.1331481933594	19.43194008	-99.13314819
222	1979	1110	2		1	-34.5311088562012,-58.5254402160645	-34.53110886	-58.52544022
223	1979	1115	2	2		-34.5127642,-58.5716719	-34.5127642	-58.5716719
224	1979	1120	2	2	1	-34.5051057,-58.5233401	-34.5051057	-58.5233401
225	1979	1125		1	2	-34.5382252,-58.4910223	-34.5382252	-58.4910223
226	1979	1130	1	1	1	-34.6478883,-58.539562	-34.6478883	-58.539562
227	1979	1135	1	1	2	-34.6206123,-58.7816654	-34.6206123	-58.7816654
228	1979	1140	2	2	2	-34.442256,-58.6638695	-34.442256	-58.6638695
229	1979	1145		1	2	-34.4939498,-58.5516751	-34.4939498	-58.5516751
230	1979	1150	2	2	1	-34.30295,-58.76702	-34.30295	-58.76702
231	1979	1155	2	2	1	-34.6326904296875,-58.8554191589355	-34.63269043	-58.85541916
232	1979	1160	1	1	2	-34.6582489013672,-58.7634506225586	-34.6582489	-58.76345062
233	1979	1165	1	1	2	-34.5033024,-58.7762868	-34.5033024	-58.7762868
234	1979	1170	2			-34.4229061,-58.7491287	-34.4229061	-58.7491287
235	1979	1175	2	2	1	-34.4951,-58.54655	-34.4951	-58.54655
