identificador	opening_date	opening_date_new	imagenPositivaNegativaMacri	imagenPositivaNegativaVidal	imagenPositivaNegativaCristina	latLong	latitude	longitude
386	1981	1930	2	2	1	-34.77965,-58.2075	-34.77965	-58.2075
387	1981	1935	2	2	1	-34.90212,-58.39349	-34.90212	-58.39349
388	1981	1940		1	2	-34.7051774,-58.3092091	-34.7051774	-58.3092091
389	1981	1945			2	-34.6536363,-58.5771871	-34.6536363	-58.5771871
390	1981	1950	1	1	2	-34.6952612,-58.3684209	-34.6952612	-58.3684209
391	1981	1955	1	1	2	-34.7143,-58.28659	-34.7143	-58.28659
392	1981	1960	2	2	1	-34.75225,-58.3222	-34.75225	-58.3222
393	1981	1965	2	2	1	-34.6434035,-58.5775418	-34.6434035	-58.5775418
394	1981	1970	2	2	2	-34.7691541,-58.355879	-34.7691541	-58.355879
395	1981	1975	2	2		-34.7454856,-58.2846703	-34.7454856	-58.2846703
396	1981	1980	2	2	1	-34.71486,-58.5976308	-34.71486	-58.5976308
397	1981	1985	2	2	1	-34.74105,-58.3155	-34.74105	-58.3155
398	1981	1990	2	2	1	-34.7285,-58.38082	-34.7285	-58.38082
400	1981	2000	2	2	1	-34.7278831,-58.59159	-34.7278831	-58.59159
401	1981	2005	1	1	2	-34.729403,-58.261387	-34.729403	-58.261387
403	1981	2015		1	2	-34.8074001,-58.4031649	-34.8074001	-58.4031649
405	1981	2025	2		1	-34.7030321,-58.3298488	-34.7030321	-58.3298488
406	1981	2030	2	2	1	-34.7541952,-58.6180954	-34.7541952	-58.6180954
407	1981	2035	1	1	2	-34.6946856,-58.6121351	-34.6946856	-58.6121351
408	1981	2040	1	1	2	-34.6372777,-58.560705	-34.6372777	-58.560705
409	1981	2045	1	1	2	-34.659538,-58.5929017	-34.659538	-58.5929017
410	1981	2050	2	2		-34.67432,-58.41382	-34.67432	-58.41382
411	1981	2055			2	-34.5741077,-58.5333096	-34.5741077	-58.5333096
412	1981	2060	2	2	1	-34.76272,-58.27162	-34.76272	-58.27162
413	1981	2065	2	2	1	-34.7546920776367,-58.5798873901367	-34.75469208	-58.57988739
414	1981	2070	2	2	2	-13.1602401733398,-74.2252578735352	-13.16024017	-74.22525787
415	1981	2075	2	2	2	-34.7759883,-58.5926501	-34.7759883	-58.5926501
416	1981	2080	2		2	-34.7589605,-58.2688824	-34.7589605	-58.2688824
417	1981	2085	1	1	2	-34.6663672,-58.5487692	-34.6663672	-58.5487692
419	1981	2095	1	1	2	-34.75563,-58.32841	-34.75563	-58.32841
420	1981	2100	2	2	1	-34.6854336,-58.3298054	-34.6854336	-58.3298054
421	1981	2105	2		2	-34.6958704,-58.490627	-34.6958704	-58.490627
422	1981	2110	1	1	2	-34.78548,-58.20419	-34.78548	-58.20419
423	1981	2115	2	2		-34.781,-58.34857	-34.781	-58.34857
424	1981	2120	2	2	1	-34.90212,-58.39349	-34.90212	-58.39349
425	1981	2125			1	-34.6886947,-58.3179093	-34.6886947	-58.3179093
426	1981	2130	2	2	1	-34.7684701,-58.3166276	-34.7684701	-58.3166276
427	1981	2135	2	2	1	-34.88051,-58.39275	-34.88051	-58.39275
428	1981	2140	1	1	2	-34.78447,-58.35098	-34.78447	-58.35098
429	1981	2145	1	1	2	-34.72288,-58.24659	-34.72288	-58.24659
430	1981	2150	2	2	1	-34.88051,-58.39275	-34.88051	-58.39275
431	1981	2155	2	2	1	43.3390808105469,-1.4468400478363	43.33908081	-1.446840048
432	1981	2160	2	2	1	-34.855608,-58.3872413	-34.855608	-58.3872413
433	1981	2165	1	1	2	-34.80125,-58.39177	-34.80125	-58.39177
434	1981	2170	2	2		-34.75322,-58.21193	-34.75322	-58.21193
435	1981	2175	1	1	2	-34.68956,-58.61183	-34.68956	-58.61183
436	1981	2180	2		2	-34.7573534,-58.2869372	-34.7573534	-58.2869372
437	1981	2185	2	2	2	-34.6728782653809,-58.411449432373	-34.67287827	-58.41144943
438	1981	2190	2	2	1	-34.76305,-58.28596	-34.76305	-58.28596
439	1981	2195	2	2	1	-34.7451632,-58.5942917	-34.7451632	-58.5942917
440	1981	2200	2	2	1	-34.7098269,-58.3454568	-34.7098269	-58.3454568
441	1981	2205	2		2	-34.7912116,-58.3255072	-34.7912116	-58.3255072
442	1981	2210	2	2	1	-34.6517709,-58.5786895	-34.6517709	-58.5786895
443	1981	2215	1	1	2	-34.7594021,-58.1871342	-34.7594021	-58.1871342
444	1981	2220	2	2	2	-34.7366554,-58.5744074	-34.7366554	-58.5744074
445	1981	2225	2	2	1	-34.759124,-58.6060551	-34.759124	-58.6060551
446	1981	2230	1		1	-34.6870555,-58.5071083	-34.6870555	-58.5071083
447	1981	2235			2	-34.696199,-58.5084072	-34.696199	-58.5084072
448	1981	2240	2		1	-34.71612,-58.32108	-34.71612	-58.32108
449	1981	2245	2	2	1	-34.6605722,-58.5543548	-34.6605722	-58.5543548
450	1981	2250	1	1	2	-34.6636557,-58.353149	-34.6636557	-58.353149
452	1981	2260	2	2	1	-34.8663468,-58.3612202	-34.8663468	-58.3612202
453	1981	2265	2	2		-34.7615659,-58.2093102	-34.7615659	-58.2093102
454	1981	2270		2	2	-34.76054,-58.19402	-34.76054	-58.19402
455	1981	2275	1	1	2	-34.69901,-58.37859	-34.69901	-58.37859
457	1981	2285		1	2	-34.640617,-60.4833075	-34.640617	-60.4833075
458	1981	2290	2	2	1	-34.6278,-58.76527	-34.6278	-58.76527
459	1981	2295	2	2	1	-34.6563632,-58.3464068	-34.6563632	-58.3464068
460	1981	2300	2	2	1	-34.70911,-58.26836	-34.70911	-58.26836
461	1981	2305	1	1	2	-34.71586,-58.39899	-34.71586	-58.39899
462	1982	2310	2	2	1	-34.8878593444824,-58.384090423584	-34.88785934	-58.38409042
463	1982	2315	2	2		-34.7183223,-58.4038331	-34.7183223	-58.4038331
464	1982	2320	1	1	2	-34.7711058,-58.6066052	-34.7711058	-58.6066052
465	1982	2325	2	2		-34.737,-58.34665	-34.737	-58.34665
466	1982	2330	2	2	1	-34.73869,-58.36614	-34.73869	-58.36614
467	1982	2335	2	2	1	-34.7142,-58.38525	-34.7142	-58.38525
468	1982	2340	1	1	2	-34.82759,-58.41344	-34.82759	-58.41344
469	1982	2345	1	1	2	-34.77208,-58.28183	-34.77208	-58.28183
470	1982	2350	2		1	-34.78848,-58.32187	-34.78848	-58.32187
471	1982	2355	1	1	2	-34.72758,-58.39873	-34.72758	-58.39873
472	1982	2360	2		1	-34.6730949,-58.4306221	-34.6730949	-58.4306221
473	1982	2365	1	1	2	-34.6928919,-58.4817496	-34.6928919	-58.4817496
474	1982	2370	2	2		-34.8814328,-58.3921327	-34.8814328	-58.3921327
475	1982	2375	2	2	1	-34.686344,-58.5984452	-34.686344	-58.5984452
476	1982	2380	2	2	1	-34.7071629,-58.3490284	-34.7071629	-58.3490284
477	1982	2385	2	2	2	-34.70541,-58.29627	-34.70541	-58.29627
478	1982	2390	2	2	1	-34.6554301,-58.348275	-34.6554301	-58.348275
479	1982	2395	2	2	1	-34.640151,-58.5675976	-34.640151	-58.5675976
480	1982	2400	2	2	1	-34.704418182373,-58.3171691894531	-34.70441818	-58.31716919
481	1982	2405	2	2	1	-34.6875274,-58.3550027	-34.6875274	-58.3550027
482	1982	2410	2		2	-34.7043164,-58.2842992	-34.7043164	-58.2842992
483	1982	2415	1	1	2	-34.6922308,-58.5387644	-34.6922308	-58.5387644
484	1982	2420	2	2	1	-34.74209,-58.36914	-34.74209	-58.36914
485	1982	2425	2	2	1	-34.7929383,-58.2118584	-34.7929383	-58.2118584
486	1982	2430	2	2	2	18.7931900024414,100.779800415039	18.79319	100.7798004
487	1982	2435	2	2	1	-34.6632579,-58.3667024	-34.6632579	-58.3667024
488	1982	2440	1	1		-34.6914889,-58.6184209	-34.6914889	-58.6184209
489	1982	2445	2		1	-34.6590284,-58.3654462	-34.6590284	-58.3654462
490	1982	2450	2			-34.648073,-58.5436717	-34.648073	-58.5436717
491	1982	2455	2	2	1	-34.6278,-58.76527	-34.6278	-58.76527
492	1982	2460	2	2		-34.76545,-58.27459	-34.76545	-58.27459
493	1982	2465	1	1		18.2250633239746,-66.4789123535156	18.22506332	-66.47891235
494	1982	2470	2	2	1	-34.73179,-58.38073	-34.73179	-58.38073
495	1982	2475	2		1	-34.759558,-58.6481851	-34.759558	-58.6481851
497	1982	2485	1	1	2	-34.7353,-58.27424	-34.7353	-58.27424
498	1982	2490	2	2	1	-34.6590284,-58.3654462	-34.6590284	-58.3654462
499	1982	2495	2	2	1	-34.6739622,-58.5855157	-34.6739622	-58.5855157
500	1982	2500	2	2	1	-34.7546466,-58.6065314	-34.7546466	-58.6065314
501	1982	2505	1	1	2	18.7931900024414,100.779800415039	18.79319	100.7798004
502	1982	2510	2	2	1	-34.6844152,-58.3531508	-34.6844152	-58.3531508
503	1982	2515	2	2	1	-34.7169990539551,-58.5330009460449	-34.71699905	-58.53300095
504	1982	2520			1	-34.722446,-58.3354703	-34.722446	-58.3354703
505	1982	2525	2	2	1	-34.7100203,-58.5154976	-34.7100203	-58.5154976
506	1982	2530	2			-34.6426641,-58.5662138	-34.6426641	-58.5662138
508	1982	2540	2	2	1	18.7931900024414,100.779800415039	18.79319	100.7798004
509	1982	2545	2	2	1	-34.774600982666,-58.6470489501953	-34.77460098	-58.64704895
510	1982	2550	2	2	1	-34.6912942,-58.3128148	-34.6912942	-58.3128148
511	1982	2555	2	2		-34.6916831,-58.5133705	-34.6916831	-58.5133705
512	1982	2560	2			-34.77604,-58.31342	-34.77604	-58.31342
513	1982	2565	2	2	1	-34.722446,-58.3354703	-34.722446	-58.3354703
514	1982	2570	2	2	1	-34.7942533,-58.2331804	-34.7942533	-58.2331804
515	1982	2575	2	2	2	-34.84695,-58.38749	-34.84695	-58.38749
516	1982	2580	2	2	1	-34.7685612,-58.629802	-34.7685612	-58.629802
517	1982	2585	2	2	2	-34.80676,-58.39583	-34.80676	-58.39583
518	1982	2590	2		1	-34.78035,-58.3205	-34.78035	-58.3205
519	1982	2595	2	2	1	-34.73539,-58.26605	-34.73539	-58.26605
520	1982	2600	2	2		-34.6661588,-58.3863989	-34.6661588	-58.3863989
521	1982	2605	2	2	2	-34.7211546,-58.2603652	-34.7211546	-58.2603652
522	1982	2610	2	2	1	-34.79396,-58.34567	-34.79396	-58.34567
523	1982	2615	2	2	2	-34.6758573,-58.4097001	-34.6758573	-58.4097001
524	1982	2620	2		1	-34.7258662,-58.385874	-34.7258662	-58.385874
525	1983	2625	2	2	1	-34.6995928,-58.3737668	-34.6995928	-58.3737668
526	1983	2630	2	2	1	-34.6636557,-58.353149	-34.6636557	-58.353149
527	1983	2635	2	2	1	-34.6824762,-58.6123451	-34.6824762	-58.6123451
528	1983	2640		1	2	-34.8449907,-58.646575	-34.8449907	-58.646575
529	1983	2645			2	-34.7153084,-58.6011952	-34.7153084	-58.6011952
530	1983	2650	1	1	2	-28.59807,-62.94521	-28.59807	-62.94521
531	1983	2655	1	1	2	-34.72893,-58.34293	-34.72893	-58.34293
532	1983	2660	2	2	1	-34.8937,-58.3925	-34.8937	-58.3925
533	1983	2665	2	2	1	-34.76587,-58.31932	-34.76587	-58.31932
534	1983	2670	2	2	2	-34.86486,-58.3806	-34.86486	-58.3806
535	1983	2675	2	2		-34.6475486755371,-58.5555381774902	-34.64754868	-58.55553818
536	1983	2680	2	2	1	-34.6844482421875,-58.4921607971191	-34.68444824	-58.4921608
537	1983	2685	2	2	1	-34.8828387,-58.3980553	-34.8828387	-58.3980553
538	1983	2690	2	2	1	-34.7442262,-58.3191488	-34.7442262	-58.3191488
539	1983	2695	1	1	2	-34.8439292907715,-58.6421585083008	-34.84392929	-58.64215851
540	1983	2700	2	2	1	-34.70127,-58.29736	-34.70127	-58.29736
541	1983	2705	1	1	2	-34.7846899,-58.18546	-34.7846899	-58.18546
542	1983	2710	1	1	2	-34.7614253,-58.6419698	-34.7614253	-58.6419698
544	1983	2720	1	1	2	43.3390808105469,-1.4468400478363	43.33908081	-1.446840048
545	1983	2725	2		1	-34.730842,-58.6120854	-34.730842	-58.6120854
546	1983	2730	2	2	1	-34.73736,-58.36144	-34.73736	-58.36144
547	1983	2735	1	1	2	-34.7459688,-58.5987776	-34.7459688	-58.5987776
548	1983	2740	1	1	2	-34.6813102,-58.4265734	-34.6813102	-58.4265734
549	1983	2745	1	1	2	-34.77197,-58.21841	-34.77197	-58.21841
550	1983	2750	2	2		-34.7184432,-58.5583974	-34.7184432	-58.5583974
551	1983	2755			2	-34.852433,-58.3867862	-34.852433	-58.3867862
552	1983	2760	2	2	1	-34.6433228,-58.5666438	-34.6433228	-58.5666438
553	1983	2765	2	2	1	-34.76561,-58.2666	-34.76561	-58.2666
554	1983	2770	2	2	2	-34.6568852,-58.5261023	-34.6568852	-58.5261023
555	1983	2775	2	2	2	-34.8422,-58.64715	-34.8422	-58.64715
556	1983	2780	2		2	-34.71172,-58.28538	-34.71172	-58.28538
557	1983	2785	1	1	2	-34.74613,-58.27442	-34.74613	-58.27442
558	1983	2790	2	2	1	-34.78278,-58.22848	-34.78278	-58.22848
560	1983	2800	2	2	1	-28.59807,-62.94521	-28.59807	-62.94521
561	1983	2805	2		2	-34.70744,-58.30851	-34.70744	-58.30851
563	1983	2815	2	2		-34.6917526,-58.598113	-34.6917526	-58.598113
564	1983	2820	2	2	1	-34.6430594,-58.5638209	-34.6430594	-58.5638209
565	1983	2825	2		1	18.7931900024414,100.779800415039	18.79319	100.7798004
566	1983	2830	2	2	1	-34.7905156,-58.1947964	-34.7905156	-58.1947964
567	1983	2835	2	2	1	-34.73619,-58.34771	-34.73619	-58.34771
568	1983	2840	1	1	2	-34.7174039,-58.3371587	-34.7174039	-58.3371587
569	1983	2845	1	1	2	-34.6599191,-58.3436351	-34.6599191	-58.3436351
570	1983	2850	2	2	1	-34.732,-58.3695	-34.732	-58.3695
571	1983	2855	2	2	1	-34.67566,-58.41732	-34.67566	-58.41732
573	1983	2865	1	1	2	-34.7640727,-58.2988721	-34.7640727	-58.2988721
574	1983	2870	2	2		-34.6417292,-58.5660169	-34.6417292	-58.5660169
575	1983	2875	1	1	2	-34.6909092,-58.3495536	-34.6909092	-58.3495536
576	1983	2880	2		2	-34.7807533,-58.3567742	-34.7807533	-58.3567742
577	1983	2885	2	2	2	-34.6982643,-58.5045043	-34.6982643	-58.5045043
578	1983	2890	2	2	1	-34.7914009094238,-58.3475685119629	-34.79140091	-58.34756851
579	1983	2895	2	2	1	-34.6758083,-58.3859561	-34.6758083	-58.3859561
580	1983	2900	2	2	1	-34.774600982666,-58.6470489501953	-34.77460098	-58.64704895
581	1983	2905	2		2	-34.7098271,-58.6240096	-34.7098271	-58.6240096
582	1983	2910	2	2	1	-34.6928728,-58.368478	-34.6928728	-58.368478
583	1983	2915	1	1	2	-34.8609,-58.3831	-34.8609	-58.3831
584	1983	2920	2	2	2	-34.77235,-58.313	-34.77235	-58.313
585	1983	2925	2	2	1	-34.7523,-58.32674	-34.7523	-58.32674
586	1983	2930	1		1	-34.7306377,-58.576985	-34.7306377	-58.576985
587	1983	2935	2		2	-34.8260586,-58.4147074	-34.8260586	-58.4147074
588	1983	2940	2		1	-34.87947,-58.3817	-34.87947	-58.3817
589	1983	2945	2	2	1	-34.7804291,-58.6048107	-34.7804291	-58.6048107
590	1983	2950	1	1	2	-34.6824738,-58.3293189	-34.6824738	-58.3293189
591	1983	2955	2	2	2	-34.6512522,-58.3462014	-34.6512522	-58.3462014
592	1983	2960	2	2	1	-34.7082295,-58.2273931	-34.7082295	-58.2273931
593	1983	2965	2	2		-34.703698,-58.3172993	-34.703698	-58.3172993
594	1983	2970	2	2	2	43.3390808105469,-1.4468400478363	43.33908081	-1.446840048
595	1983	2975	1	1	2	-33.5494579,-61.1231988	-33.5494579	-61.1231988
596	1983	2980	2	2	1	-34.6549902,-58.534777	-34.6549902	-58.534777
597	1983	2985		1	2	-34.77133,-58.247	-34.77133	-58.247
598	1983	2990	2	2	1	-34.76858,-58.2893	-34.76858	-58.2893
599	1983	2995	2	2	1	-34.7223,-58.24931	-34.7223	-58.24931
600	1983	3000	2	2	1	-34.83248,-58.3862	-34.83248	-58.3862
601	1983	3005	1	1	2	-34.7637909,-58.6055195	-34.7637909	-58.6055195
602	1983	3010	2	2	1	-34.72259,-58.26138	-34.72259	-58.26138
603	1983	3015	2	2		-34.69504,-58.42041	-34.69504	-58.42041
604	1983	3020	1	1	2	-34.7122001647949,-58.5920486450195	-34.71220016	-58.59204865
605	1983	3025	2	2		-34.73223,-58.2361	-34.73223	-58.2361
606	1983	3030	2	2	1	-34.7724972,-58.1881067	-34.7724972	-58.1881067
607	1983	3035	2	2	1	-34.667121887207,-58.3566398620605	-34.66712189	-58.35663986
608	1983	3040	1	1	2	-34.77776,-58.28886	-34.77776	-58.28886
609	1983	3045	1	1	2	-34.6974109,-58.3550585	-34.6974109	-58.3550585
610	1983	3050	2		1	-34.70508,-58.40392	-34.70508	-58.40392
611	1983	3055	1	1	2	-34.7122001647949,-58.5920486450195	-34.71220016	-58.59204865
612	1984	3060	2		1	47.2630348205566,8.10871505737305	47.26303482	8.108715057
613	1984	3065	1	1	2	-34.73145,-58.3002	-34.73145	-58.3002
614	1984	3070	2	2		49.9832191467285,-126.845748901367	49.98321915	-126.8457489
615	1984	3075	2	2	1	-34.7956,-58.30425	-34.7956	-58.30425
616	1984	3080	2	2	1	-34.777,-58.20192	-34.777	-58.20192
617	1984	3085	2	2	2	-34.6813448,-58.3687955	-34.6813448	-58.3687955
618	1984	3090	2	2	1	-34.7546920776367,-58.5798873901367	-34.75469208	-58.57988739
620	1984	3100	2	2	1	-34.6486325,-58.3464766	-34.6486325	-58.3464766
621	1984	3105	2	2	1	43.3390808105469,-1.4468400478363	43.33908081	-1.446840048
623	1984	3115	1	1	2	-34.72041,-58.52453	-34.72041	-58.52453
624	1984	3120	2	2	1	-34.68409,-58.52117	-34.68409	-58.52117
625	1984	3125	2	2	1	-34.71747,-58.25826	-34.71747	-58.25826
626	1984	3130	2	2	2	-34.77086,-58.31649	-34.77086	-58.31649
627	1984	3135	2	2	1	-34.6678306,-58.3512015	-34.6678306	-58.3512015
629	1984	3145	2		1	-34.6668083,-58.3586775	-34.6668083	-58.3586775
630	1984	3150	2			-34.6654196,-58.5626149	-34.6654196	-58.5626149
631	1984	3155	2	2	1	-16.5664196014404,-69.0428771972656	-16.5664196	-69.0428772
632	1984	3160	2	2		-34.77235,-58.313	-34.77235	-58.313
634	1984	3170	2	2	1	-34.6856696,-58.6121684	-34.6856696	-58.6121684
635	1984	3175	2		1	-34.744138,-58.5800451	-34.744138	-58.5800451
637	1984	3185	1	1	2	-34.8631006,-58.3815744	-34.8631006	-58.3815744
638	1984	3190	2	2	1	-34.8878593444824,-58.384090423584	-34.88785934	-58.38409042
639	1984	3195	2	2	1	-34.70755,-58.4799	-34.70755	-58.4799
640	1984	3200	2	2	1	-34.7574792,-58.2240775	-34.7574792	-58.2240775
641	1984	3205	1	1	2	-34.6581818,-58.5285675	-34.6581818	-58.5285675
642	1984	3210	2	2	1	-34.7229,-58.29817	-34.7229	-58.29817
643	1984	3215	2	2	1	-34.7438506,-58.3357832	-34.7438506	-58.3357832
644	1984	3220			1	-34.6931168,-58.6262524	-34.6931168	-58.6262524
645	1984	3225	2	2	1	-34.68303,-58.42878	-34.68303	-58.42878
646	1984	3230	2			-34.7546920776367,-58.5798873901367	-34.75469208	-58.57988739
647	1984	3235	2	2	1	-34.6512135,-58.5525746	-34.6512135	-58.5525746
648	1984	3240	2	2	1	-34.9577903747559,-57.8832817077637	-34.95779037	-57.88328171
649	1984	3245	2	2	1	-34.7237457,-58.313906	-34.7237457	-58.313906
650	1984	3250	2	2	1	-34.7176553,-58.3378067	-34.7176553	-58.3378067
651	1984	3255	2	2		-34.81152,-58.54418	-34.81152	-58.54418
652	1984	3260	2			-34.73304,-58.26882	-34.73304	-58.26882
653	1984	3265	2	2	1	-34.8612348,-58.3964944	-34.8612348	-58.3964944
654	1984	3270	2	2	1	-34.6834931,-58.58856	-34.6834931	-58.58856
655	1984	3275	2	2	2	-34.73776,-58.34731	-34.73776	-58.34731
656	1984	3280	2	2	1	-34.79077,-58.36912	-34.79077	-58.36912
658	1984	3290	2		1	-34.7289644,-58.3000939	-34.7289644	-58.3000939
659	1984	3295	2	2	1	-34.8299674,-58.4416798	-34.8299674	-58.4416798
660	1984	3300	2	2		-34.7284727,-58.5696452	-34.7284727	-58.5696452
662	1984	3310	2	2	1	-34.7122001647949,-58.5920486450195	-34.71220016	-58.59204865
663	1984	3315	2	2	2	-34.8472391,-58.6495574	-34.8472391	-58.6495574
664	1984	3320	2		1	-33.88841,-60.54949	-33.88841	-60.54949
665	1984	3325	2	2	1	-34.7036411,-58.280601	-34.7036411	-58.280601
667	1984	3335	2	2	1	-34.7224,-58.31455	-34.7224	-58.31455
668	1984	3340		1	2	-34.7064628,-58.6088022	-34.7064628	-58.6088022
669	1984	3345			2	-34.6999588012695,-58.383861541748	-34.6999588	-58.38386154
670	1984	3350	1	1	2	-34.7169990539551,-58.5330009460449	-34.71699905	-58.53300095
671	1984	3355	1	1	2	-34.71071,-58.40327	-34.71071	-58.40327
672	1984	3360	2	2	1	-34.7162,-58.36023	-34.7162	-58.36023
673	1984	3365	2	2	1	-34.704418182373,-58.3171691894531	-34.70441818	-58.31716919
674	1984	3370	2	2	2	-34.82639,-58.39031	-34.82639	-58.39031
675	1984	3375	2	2		18.7931900024414,100.779800415039	18.79319	100.7798004
677	1984	3385	2	2	1	-34.7266594,-58.3247165	-34.7266594	-58.3247165
678	1984	3390	2	2	1	-34.73014,-58.3803	-34.73014	-58.3803
679	1984	3395	1	1	2	-34.704418182373,-58.3171691894531	-34.70441818	-58.31716919
681	1984	3405	1	1	2	-34.7102918,-58.5935716	-34.7102918	-58.5935716
682	1984	3410	1	1	2	-34.7595405578613,-58.2019462585449	-34.75954056	-58.20194626
683	1984	3415		1	2	-34.7169990539551,-58.5330009460449	-34.71699905	-58.53300095
684	1984	3420	1	1	2	-34.6530275,-58.5384841	-34.6530275	-58.5384841
685	1984	3425	2		1	-34.7316095,-58.2897652	-34.7316095	-58.2897652
686	1984	3430	2	2	1	-34.8878593444824,-58.384090423584	-34.88785934	-58.38409042
687	1984	3435	1	1	2	-34.7060327,-58.3373275	-34.7060327	-58.3373275
688	1984	3440	1	1	2	-34.6626677,-58.5331638	-34.6626677	-58.5331638
689	1984	3445	1	1	2	-34.82664,-58.38239	-34.82664	-58.38239
690	1984	3450	2	2		-34.6579568,-58.5673262	-34.6579568	-58.5673262
692	1984	3460	2	2	1	-34.6989112,-58.6262706	-34.6989112	-58.6262706
693	1984	3465	2	2	1	-34.705345,-58.6190547	-34.705345	-58.6190547
694	1984	3470	2	2	2	-34.71695,-58.36102	-34.71695	-58.36102
695	1984	3475	2	2	2	-34.5560216,-59.1108949	-34.5560216	-59.1108949
696	1984	3480	2		2	-34.7775231,-58.6123746	-34.7775231	-58.6123746
699	1984	3495	1	1	2	-34.7038861,-58.3170721	-34.7038861	-58.3170721
701	1984	3505	2		2	-34.6539516,-58.3490244	-34.6539516	-58.3490244
702	1984	3510	1	1	2	-34.77615,-58.30287	-34.77615	-58.30287
703	1984	3515	2	2		-34.73204,-58.24715	-34.73204	-58.24715
704	1984	3520	2	2	1	-34.708087,-58.2674104	-34.708087	-58.2674104
705	1984	3525	2		1	-34.74554,-58.32123	-34.74554	-58.32123
706	1984	3530	2	2	1	-34.13667,-59.00333	-34.13667	-59.00333
707	1984	3535	2	2	1	-34.7476894,-58.2751625	-34.7476894	-58.2751625
708	1984	3540	1	1	2	-34.69383,-58.41664	-34.69383	-58.41664
710	1984	3550	2	2	1	-34.72448,-58.31238	-34.72448	-58.31238
711	1985	3555	2	2	1	-34.7799459,-58.2186841	-34.7799459	-58.2186841
712	1985	3560	2	2	1	-34.73244,-58.23379	-34.73244	-58.23379
713	1985	3565	1	1	2	-34.76692,-58.3561	-34.76692	-58.3561
714	1985	3570	2	2		43.3390808105469,-1.4468400478363	43.33908081	-1.446840048
715	1985	3575	1	1	2	-34.6575805,-58.5480373	-34.6575805	-58.5480373
716	1985	3580	2		2	-34.7546920776367,-58.5798873901367	-34.75469208	-58.57988739
717	1985	3585	2	2	2	-34.679188,-58.3691818	-34.679188	-58.3691818
718	1985	3590	2	2	1	-34.78431,-58.33511	-34.78431	-58.33511
719	1985	3595	2	2	1	-34.6660528,-58.5774602	-34.6660528	-58.5774602
720	1985	3600	2	2	1	-34.74177,-58.3346	-34.74177	-58.3346
721	1985	3605			2	-34.76803,-58.30155	-34.76803	-58.30155
722	1985	3610	2	2	1	-34.7697507,-58.3076869	-34.7697507	-58.3076869
723	1985	3615	1	1	2	-34.699925,-58.3016656	-34.699925	-58.3016656
724	1985	3620	2	2	2	-34.6880993,-58.5950495	-34.6880993	-58.5950495
725	1985	3625	2	2	1	-34.7161062,-58.569963	-34.7161062	-58.569963
726	1985	3630	1		1	-34.67256,-58.41035	-34.67256	-58.41035
727	1985	3635	2		2	-34.77076,-58.29968	-34.77076	-58.29968
728	1985	3640	2		1	-34.6199708,-58.803329	-34.6199708	-58.803329
729	1985	3645	2	2	1	-34.68312,-58.42582	-34.68312	-58.42582
730	1985	3650	1	1	2	-34.684881,-58.6110988	-34.684881	-58.6110988
731	1985	3655	2	2	2	-34.8878593444824,-58.384090423584	-34.88785934	-58.38409042
732	1985	3660	2	2	1	-34.6546459,-58.5460132	-34.6546459	-58.5460132
733	1985	3665	2	2		-34.695768,-58.6065622	-34.695768	-58.6065622
734	1985	3670	2	2	2	-34.7431387,-58.5953821	-34.7431387	-58.5953821
735	1985	3675	1	1	2	-34.75874,-58.21158	-34.75874	-58.21158
736	1985	3680	2	2	1	-34.7632559,-58.6340596	-34.7632559	-58.6340596
737	1985	3685		1	2	-34.7115,-58.32816	-34.7115	-58.32816
738	1985	3690	2	2	1	-34.8508182,-58.6446023	-34.8508182	-58.6446023
739	1985	3695	2	2	1	-34.8824,-58.35985	-34.8824	-58.35985
740	1985	3700	2	2	1	-34.652194,-58.5575296	-34.652194	-58.5575296
741	1985	3705	1	1	2	-34.71451,-58.30634	-34.71451	-58.30634
743	1985	3715	2	2		-34.7304662,-58.532512	-34.7304662	-58.532512
744	1985	3720	1	1	2	-36.682366,-56.6825418	-36.682366	-56.6825418
745	1985	3725	2	2		-34.661578,-58.5310848	-34.661578	-58.5310848
746	1985	3730	2	2	1	3.90644907951355,-73.0750274658203	3.90644908	-73.07502747
748	1985	3740	1	1	2	-34.70736,-58.38637	-34.70736	-58.38637
751	1985	3755	1	1	2	-34.69682,-58.37197	-34.69682	-58.37197
752	1985	3760	2		1	-34.7247085571289,-58.3023109436035	-34.72470856	-58.30231094
753	1985	3765	1	1	2	-34.7195414,-58.5937874	-34.7195414	-58.5937874
754	1985	3770	2	2		-34.6579335,-58.524816	-34.6579335	-58.524816
755	1985	3775	2	2	1	-34.7027145,-58.3332575	-34.7027145	-58.3332575
757	1985	3785	2	2	2	-34.7771282,-58.3132101	-34.7771282	-58.3132101
758	1985	3790	2	2	1	-34.746647,-58.3245868	-34.746647	-58.3245868
759	1985	3795	2	2	1	-34.7122001647949,-58.5920486450195	-34.71220016	-58.59204865
760	1985	3800	2	2	1	-34.6798949,-58.4185284	-34.6798949	-58.4185284
761	1985	3805	2	2	1	-34.6629727,-58.3548757	-34.6629727	-58.3548757
763	1985	3815	1	1	2	-34.71486,-58.5976308	-34.71486	-58.5976308
765	1985	3825	2	2	1	-34.6636954,-58.3770615	-34.6636954	-58.3770615
767	1985	3835	2	2	1	-34.67177,-58.4007	-34.67177	-58.4007
768	1985	3840	1	1		-34.78245,-58.36618	-34.78245	-58.36618
